OBJECTID_1,OBJECTID_x,Domain_Code,Domain,Reporter_Country_Code__M49_,Reporter Countries,Partner_Country_Code__M49_,Partner Countries_x,Element_Code,Element,Item_Code__CPC_,Item,Year_Code,Year,Unit,Value,Partner Subregion,Reporter Subregion,Import,Export,Reporter_X,Reporter_Y,Partner_X,Partner_Y
3146,3602,TM,Detailed trade matrix,4,Afghanistan,356,India,5610,Import Quantity,23140.08,Cereal preparations,2022,2022,t,28,Southern Asia,Southern Asia,50211.7,743421.36,5389758.64,3487782.829,5389758.64,3487782.829
5708,6402,TM,Detailed trade matrix,4,Afghanistan,710,South Africa,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,0,Sub-Saharan Africa,Southern Asia,50211.7,743421.36,5389758.64,3487782.829,799520.735,-22980.95493
175,188,TM,Detailed trade matrix,4,Afghanistan,752,Sweden,5610,Import Quantity,23140.08,Cereal preparations,2022,2022,t,0,Northern Europe,Southern Asia,50211.7,743421.36,5389758.64,3487782.829,116678.4529,7088046.642
3151,3607,TM,Detailed trade matrix,4,Afghanistan,792,TÃ¼rkiye,5610,Import Quantity,23140.08,Cereal preparations,2022,2022,t,0.01,Western Asia,Southern Asia,50211.7,743421.36,5389758.64,3487782.829,2935537.537,3583444.932
176,189,TM,Detailed trade matrix,8,Albania,100,Bulgaria,5610,Import Quantity,1199.9,Cereals n.e.c.,2022,2022,t,0.04,Eastern Europe,Southern Europe,382891,653572.83,-342422.7144,5159607.101,2506437.857,6748077.697
177,190,TM,Detailed trade matrix,8,Albania,250,France,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,0.02,Western Europe,Southern Europe,382891,653572.83,-342422.7144,5159607.101,-377437.6775,5899773.581
179,192,TM,Detailed trade matrix,8,Albania,300,Greece,5610,Import Quantity,1913,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",2022,2022,t,98,Southern Europe,Southern Europe,382891,653572.83,-342422.7144,5159607.101,-342422.7144,5159607.101
4560,5442,TM,Detailed trade matrix,8,Albania,604,Peru,5610,Import Quantity,1199.9,Cereals n.e.c.,2022,2022,t,2,Latin America and the Caribbean,Southern Europe,382891,653572.83,-342422.7144,5159607.101,-7026902.956,-476787.9544
4561,5443,TM,Detailed trade matrix,12,Algeria,124,Canada,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,0.16,Northern America,Northern Africa,25530.26,5707.78,400766.5905,3513916.755,-9466099.784,5425549.363
5710,6404,TM,Detailed trade matrix,12,Algeria,788,Tunisia,5610,Import Quantity,1199.9,Cereals n.e.c.,2022,2022,t,0.05,Northern Africa,Northern Africa,25530.26,5707.78,400766.5905,3513916.755,400766.5905,3513916.755
125,133,TM,Detailed trade matrix,36,Australia,184,Cook Islands,5910,Export Quantity,1199.9,Cereals n.e.c.,2022,2022,t,0.6,Polynesia,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,15363198.64,-3578122.156
1,1,TM,Detailed trade matrix,36,Australia,242,Fiji,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,0.26,Melanesia,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,13533303.41,-1296781.984
3174,3642,TM,Detailed trade matrix,36,Australia,360,Indonesia,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,0.57,South-eastern Asia,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,9222050.695,1006694.962
3176,3644,TM,Detailed trade matrix,36,Australia,392,Japan,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,20.31,Eastern Asia,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,8797298.601,4676692.233
128,136,TM,Detailed trade matrix,36,Australia,520,Nauru,5910,Export Quantity,1199.9,Cereals n.e.c.,2022,2022,t,1.26,Micronesia,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,13537054.36,1873363.57
3,3,TM,Detailed trade matrix,36,Australia,554,New Zealand,5910,Export Quantity,23140.08,Cereal preparations,2022,2022,t,540.24,Australia and New Zealand,Australia and New Zealand,3391.7,214582.92,11195022.06,-3336149.28,11195022.06,-3336149.28
3209,3680,TM,Detailed trade matrix,31,Azerbaijan,398,Kazakhstan,5610,Import Quantity,23140.08,Cereal preparations,2022,2022,t,135,Central Asia,Western Asia,961023.2,856598.41,2935537.537,3583444.932,4485603.088,5586932.027
